,date,open,close,high,low,volume,code
183,2025-10-09,4.46,4.66,4.66,4.25,12037523.0,000981
184,2025-10-10,4.81,4.53,4.99,4.41,25909866.0,000981
185,2025-10-13,4.49,4.31,4.68,4.16,16477190.0,000981
186,2025-10-14,4.39,4.74,4.74,4.39,5810992.0,000981
187,2025-10-15,4.95,4.43,4.99,4.32,20618051.0,000981
188,2025-10-16,4.36,4.42,4.67,4.32,14340441.0,000981
189,2025-10-17,4.38,4.0,4.38,3.99,14240695.0,000981
190,2025-10-20,4.0,4.16,4.35,3.97,14373744.0,000981
191,2025-10-21,4.1,4.13,4.2,4.02,11110934.0,000981
192,2025-10-22,4.14,4.01,4.18,3.99,9165017.0,000981
193,2025-10-23,4.01,3.88,4.01,3.78,8812770.0,000981
194,2025-10-24,3.91,3.98,4.04,3.88,7639635.0,000981
