,date,open,close,high,low,volume,code
183,2025-10-09,11.75,11.8,11.87,11.63,812791.0,600000
184,2025-10-10,11.79,11.84,12.03,11.68,937574.0,600000
185,2025-10-13,11.97,12.51,12.6,11.78,2095882.0,600000
186,2025-10-14,12.45,12.77,12.87,12.31,1463994.0,600000
187,2025-10-15,12.75,13.17,13.24,12.63,1226253.0,600000
188,2025-10-16,13.16,13.32,13.53,13.11,998386.0,600000
189,2025-10-17,13.29,13.32,13.44,13.11,816932.0,600000
190,2025-10-20,13.27,12.99,13.27,12.93,806788.0,600000
191,2025-10-21,12.99,12.99,13.3,12.92,1544032.0,600000
192,2025-10-22,12.97,13.03,13.15,12.81,1196217.0,600000
193,2025-10-23,13.03,12.97,13.1,12.84,806523.0,600000
194,2025-10-24,12.99,12.98,13.1,12.83,1833429.0,600000
